country,year,leader_change
MEX,1995,0
MEX,1996,0
MEX,1997,0
MEX,1998,0
MEX,1999,0
MEX,2000,0
MEX,2001,0
MEX,2002,0
MEX,2003,0
MEX,2004,0
MEX,2005,0
MEX,2006,0
MEX,2007,0
MEX,2008,0
MEX,2009,0
MEX,2010,0
MEX,2011,0
MEX,2012,0
MEX,2013,0
MEX,2014,0
MEX,2015,0
MEX,2016,0
MEX,2017,0
MEX,2018,0
MEX,2019,0
MEX,2020,0
MEX,2021,0
MEX,2022,0
MEX,2023,0
MEX,2024,0
SUR,1995,0
SUR,1996,0
SUR,1997,0
SUR,1998,0
SUR,1999,0
SUR,2000,0
SUR,2001,0
SUR,2002,0
SUR,2003,0
SUR,2004,0
SUR,2005,0
SUR,2006,0
SUR,2007,0
SUR,2008,0
SUR,2009,0
SUR,2010,0
SUR,2011,0
SUR,2012,0
SUR,2013,0
SUR,2014,0
SUR,2015,0
SUR,2016,0
SUR,2017,0
SUR,2018,0
SUR,2019,0
SUR,2020,0
SUR,2021,0
SUR,2022,0
SUR,2023,0
SUR,2024,0
SWE,1995,0
SWE,1996,0
SWE,1997,0
SWE,1998,0
SWE,1999,0
SWE,2000,0
SWE,2001,0
SWE,2002,0
SWE,2003,0
SWE,2004,0
SWE,2005,0
SWE,2006,0
SWE,2007,0
SWE,2008,0
SWE,2009,0
SWE,2010,0
SWE,2011,0
SWE,2012,0
SWE,2013,0
SWE,2014,0
SWE,2015,0
SWE,2016,0
SWE,2017,0
SWE,2018,0
SWE,2019,0
SWE,2020,0
SWE,2021,0
SWE,2022,0
SWE,2023,0
SWE,2024,0
CHE,1995,0
CHE,1996,0
CHE,1997,0
CHE,1998,0
CHE,1999,0
CHE,2000,0
CHE,2001,0
CHE,2002,0
CHE,2003,0
CHE,2004,0
CHE,2005,0
CHE,2006,0
CHE,2007,0
CHE,2008,0
CHE,2009,0
CHE,2010,0
CHE,2011,0
CHE,2012,0
CHE,2013,0
CHE,2014,0
CHE,2015,0
CHE,2016,0
CHE,2017,0
CHE,2018,0
CHE,2019,0
CHE,2020,0
CHE,2021,0
CHE,2022,0
CHE,2023,0
CHE,2024,0
GHA,1995,0
GHA,1996,0
GHA,1997,0
GHA,1998,0
GHA,1999,0
GHA,2000,0
GHA,2001,0
GHA,2002,0
GHA,2003,0
GHA,2004,0
GHA,2005,0
GHA,2006,0
GHA,2007,0
GHA,2008,0
GHA,2009,0
GHA,2010,0
GHA,2011,0
GHA,2012,0
GHA,2013,0
GHA,2014,0
GHA,2015,0
GHA,2016,0
GHA,2017,0
GHA,2018,0
GHA,2019,0
GHA,2020,0
GHA,2021,0
GHA,2022,0
GHA,2023,0
GHA,2024,0
ZAF,1995,0
ZAF,1996,0
ZAF,1997,0
ZAF,1998,0
ZAF,1999,0
ZAF,2000,0
ZAF,2001,0
ZAF,2002,0
ZAF,2003,0
ZAF,2004,0
ZAF,2005,0
ZAF,2006,0
ZAF,2007,0
ZAF,2008,0
ZAF,2009,0
ZAF,2010,0
ZAF,2011,0
ZAF,2012,0
ZAF,2013,0
ZAF,2014,0
ZAF,2015,0
ZAF,2016,0
ZAF,2017,0
ZAF,2018,0
ZAF,2019,0
ZAF,2020,0
ZAF,2021,0
ZAF,2022,0
ZAF,2023,0
ZAF,2024,0
JPN,1995,0
JPN,1996,0
JPN,1997,0
JPN,1998,0
JPN,1999,0
JPN,2000,0
JPN,2001,0
JPN,2002,0
JPN,2003,0
JPN,2004,0
JPN,2005,0
JPN,2006,0
JPN,2007,0
JPN,2008,0
JPN,2009,0
JPN,2010,0
JPN,2011,0
JPN,2012,0
