country,year,pharma_imports
ABW,2014,29420914.0
ABW,2015,26505133.0
ABW,2016,28149769.94
ABW,2017,30664885.052
ABW,2018,33024842.519
ABW,2019,35294897.753
ABW,2020,35318033.507
ABW,2021,40658454.734
ABW,2022,35546575.476
ABW,2023,37073610.65
AFG,2014,68431720.0
AFG,2015,60103177.0
AFG,2016,51420388.0
AFG,2017,96752645.03
AFG,2018,89624824.46
AFG,2019,161924899.71
AGO,2014,331526560.0
AGO,2015,248699576.1
AGO,2016,231618889.52
AGO,2017,283178602.55
AGO,2018,350982633.227
AGO,2019,294304593.861
AGO,2020,282103261.561
AGO,2021,322068826.039
AGO,2022,678247525.877
AGO,2023,329832599.085
AGO,2024,248436179.2
ALB,2014,199969590.0
ALB,2015,153343441.0
ALB,2016,161588508.0
ALB,2017,208617396.8
ALB,2018,220490625.983
ALB,2019,220949721.941
ALB,2020,231285536.555
ALB,2021,305782197.303
ALB,2022,249500950.728
ALB,2023,266798783.639
ALB,2024,302385547.985
AND,2014,38994035.789
AND,2015,35019419.277
AND,2016,33191569.409
AND,2017,33850330.47
AND,2018,35195266.277
AND,2019,35794136.899
AND,2020,37188848.005
AND,2021,43953440.562
AND,2022,41440606.806
AND,2023,46266833.724
ARE,2014,2366822048.606
ARE,2015,2471182172.274
ARE,2016,2595140292.962
ARE,2017,3585037811.484
ARE,2018,4038347484.511
ARE,2019,4079561957.728
ARE,2020,4446337781.488
ARE,2021,6573438169.48
ARE,2022,5756589195.89
ARE,2023,6174866487.128
ARG,2014,2148944239.21
ARG,2015,2406584613.61
ARG,2016,2157431231.87
ARG,2017,2380966271.72
ARG,2018,2372194822.07
ARG,2019,2089587083.72
ARG,2020,2143935584.25
ARG,2021,3294406423.29
ARG,2022,3182414258.66
ARG,2023,2601489353.82
ARG,2024,2486880726.03
ARM,2014,119911250.0
ARM,2015,111749601.0
ARM,2016,110727375.0
ARM,2017,184660001.9
ARM,2018,158574917.99
ARM,2019,209583180.85
ARM,2020,161125260.06
ARM,2021,186709263.59
ARM,2022,215250009.07
ARM,2023,224227017.24
ARM,2024,238506655.28
ATG,2014,6187272.0
ATG,2015,7899510.0
ATG,2016,7388663.0
ATG,2017,8283394.343
ATG,2018,10280069.364
ATG,2019,10913079.388
ATG,2020,10301499.943
ATG,2021,11109615.652
ATG,2022,10736241.0
ATG,2023,11580501.222
ATG,2024,9243383.028
AUS,2014,8472278028.0
AUS,2015,7257071112.0
AUS,2016,7781062785.0
AUS,2017,8026101154.163
AUS,2018,8332790505.561
AUS,2019,8539766450.959
AUS,2020,8987432993.288
AUS,2021,11029114428.292
AUS,2022,13399459930.325
AUS,2023,11351954310.594
AUS,2024,11149392321.819
AUT,2014,6010437695.744
AUT,2015,5277713476.55
AUT,2016,5712464684.489
AUT,2017,6018320835.434
AUT,2018,7276566184.419
AUT,2019,7630665396.203
AUT,2020,7958790220.07
AUT,2021,10782021810.779
AUT,2022,10069380213.339
AUT,2023,11279201058.794
AUT,2024,11668441580.655
AZE,2014,225938303.0
AZE,2015,270684493.97
AZE,2016,195422195.8
AZE,2017,249015827.78
AZE,2018,290184259.9
AZE,2019,296555109.32
AZE,2020,377146393.34
