country,year,pharma_imports,fuel_imports,oil_exports
ABW,2000,27909151.0,,
ABW,2001,22397910.0,,
ABW,2002,22597636.0,,
ABW,2003,24511832.0,,
ABW,2004,25919284.0,,
ABW,2005,26057593.0,,
ABW,2006,25981746.0,,
ABW,2007,28370729.0,,
ABW,2008,28483371.0,,
ABW,2009,31174014.0,58794895.0,12973.0
ABW,2010,31242180.0,70030076.0,132550.0
ABW,2011,32029622.0,93503308.0,16310.0
ABW,2012,31711690.0,96374312.0,81309.0
ABW,2013,28505796.0,93973011.0,5678.0
ABW,2014,29420914.0,93024544.0,283007.0
ABW,2015,26505133.0,60271547.0,157607.0
ABW,2016,28149769.94,45841412.83,100344.99
ABW,2017,30664885.052,65925477.661,102291.617
ABW,2018,33024842.519,76706439.484,41458.658
ABW,2019,35294897.753,63090147.702,8550.279
ABW,2020,35318033.507,45556837.09,29907.262
ABW,2021,40658454.734,60587516.464,25235.754
ABW,2022,35546575.476,99060077.933,24293.854
ABW,2023,37073610.65,91135588.1,66885.474
AFG,2008,19670526.0,487576499.0,
AFG,2009,16634367.0,788229566.0,393708.0
AFG,2010,40688984.0,1075187326.0,
AFG,2011,43884154.0,2222108850.0,2391280.0
AFG,2012,36018405.0,1517526125.0,
AFG,2013,139563591.0,1452547655.0,
AFG,2014,68431720.0,1488624239.0,
AFG,2015,60103177.0,1637956960.0,19716077.0
AFG,2016,51420388.0,1008081868.0,27672616.0
AFG,2017,96752645.03,923541847.36,43546609.57
AFG,2018,89624824.46,969675693.88,89390208.17
AFG,2019,161924899.71,1944548257.28,69573174.51
AGO,2004,58630079.871,58363807.966,12385219025.096
AGO,2005,74959637.778,418084552.185,22558576892.059
AGO,2006,118519370.613,684855553.164,30548441305.207
AGO,2007,112021409.0,147313908.0,42952519227.0
AGO,2008,176916692.605,3194800019.608,63682209683.792
AGO,2009,143697784.0,3667654549.0,39792628598.0
AGO,2010,147970519.0,3105041570.0,51511230653.0
AGO,2011,194960533.0,2419337933.0,65192495550.0
AGO,2012,242691171.0,1129048635.0,69708124751.0
AGO,2013,258411341.0,2060590256.0,66505388303.0
AGO,2014,331526560.0,1638997538.0,57336235615.0
AGO,2015,248699576.1,1412342043.06,31894838588.85
AGO,2016,231618889.52,1575700425.15,26009598468.17
AGO,2017,283178602.55,1667571142.72,33051869064.74
AGO,2018,350982633.227,2416096927.868,38904909030.737
AGO,2019,294304593.861,1980106610.626,33387700563.87
AGO,2020,282103261.561,926453818.524,19687858157.826
AGO,2021,322068826.039,1886757547.563,31318918599.479
AGO,2022,678247525.877,3982471153.295,47576310443.686
AGO,2023,329832599.085,3482377834.076,35115546788.222
AGO,2024,248436179.2,2860345600.32,34198326779.69
AIA,2000,476540.0,6989734.0,3510.0
AIA,2001,479088.0,6548091.0,11834.0
AIA,2002,480354.0,6772334.0,15433.0
AIA,2003,488549.0,7998036.0,10383.0
AIA,2004,640700.0,10159471.0,597692.0
AIA,2006,961872.0,24537918.0,503.0
AIA,2007,887519.0,25736008.0,106012.0
AIA,2008,1435129.0,39047474.0,43337.0
ALB,1996,17158986.0,24009276.0,6336661.0
ALB,1997,10827152.0,20898342.0,2832944.0
ALB,1998,21434003.0,32134664.0,2487029.0
ALB,1999,30750054.0,43475781.0,7608978.0
ALB,2000,16341679.0,98348640.0,4911575.0
ALB,2001,23146195.0,132666256.0,4435146.0
ALB,2002,28452680.0,136366586.0,7027225.0
ALB,2003,43547052.0,160212507.0,4967160.0
ALB,2004,59008648.0,176819617.0,16295662.0
ALB,2005,75451565.0,225479541.0,19059264.0
ALB,2006,93123625.0,321005921.0,34288564.0
ALB,2007,123379999.0,614489123.0,81651330.0
ALB,2008,141905991.0,840447372.0,120814670.0
ALB,2009,146779677.0,536096544.0,127471124.0
ALB,2010,153446836.0,635513911.0,278763206.0
ALB,2011,159349652.0,950348620.0,413444368.0
ALB,2012,155976407.0,972118308.0,524032931.0
ALB,2013,153199834.0,838501167.0,723431623.0
ALB,2014,199969590.0,810052650.0,615911412.0
ALB,2015,153343441.0,449330900.0,358687181.0
ALB,2016,161588508.0,354626073.0,220895377.0
ALB,2017,208617396.8,521726891.338,201986811.725
ALB,2018,220490625.983,598902417.824,383265295.079
ALB,2019,220949721.941,665556774.091,304738112.107
ALB,2020,231285536.555,466511131.365,212263532.405
ALB,2021,305782197.303,972455883.292,486959806.562
ALB,2022,249500950.728,1457698639.061,733233136.615
ALB,2023,266798783.639,947422081.583,692733998.084
ALB,2024,302385547.985,925112956.527,483974488.393
AND,1995,13184029.0,36640904.0,81181.0
AND,1996,14419810.0,39305464.0,3708.0
AND,1997,12580999.0,37172456.0,2942.0
AND,1998,14013108.0,38083112.0,8359.0
AND,1999,16874944.0,32690313.0,41762.0
AND,2000,13646959.0,44703519.0,60501.0
AND,2001,13501884.0,45923089.0,105512.0
AND,2002,16641250.0,54476698.0,2173.0
